fixed acidity;volatile acidity;citric acid;residual sugar;chlorides;free sulfur dioxide;total sulfur dioxide;density;pH;sulphates;alcohol;quality
05. Jul;0.245;0.33;01. Jan;0.049;28;150;0.9927;Mrz 13;0.42;09. Mrz;5
05. Jun;0.245;0.32;01. Jan;0.047;24;152;0.9927;03. Dez;0.42;09. Mrz;6
07. Mrz;0.25;0.41;01. Aug;0.037;52;165;0.9911;Mrz 29;0.39;12. Feb;7
7;0.16;0.73;1;0.138;58;150;0.9936;03. Aug;0.3;09. Feb;5
06. Apr;0.22;0.34;01. Aug;0.057;29;104;0.9959;Mrz 81;0.57;10. Mrz;6
07. Mrz;0.18;0.65;01. Apr;0.046;28;157;0.9946;Mrz 33;0.62;09. Apr;6
06. Apr;0.17;0.27;06. Jul;0.036;88;223;0.9948;Mrz 28;0.35;10. Feb;6
06. Sep;0.29;0.16;06. Aug;0.034;65;212;0.9955;03. Aug;0.39;9;6
06. Feb;0.21;0.38;06. Aug;0.036;64;245;0.9951;03. Jun;0.36;09. Mrz;6
06. Apr;0.23;0.3;07. Jan;0.037;63;236;0.9952;03. Jun;0.34;09. Feb;6
07. Mrz;0.19;0.68;01. Mai;0.05;31;156;0.9946;Mrz 32;0.64;09. Apr;6
07. Mrz;0.18;0.65;01. Apr;0.046;28;157;0.9946;Mrz 33;0.62;09. Apr;6
09. Jun;0.29;0.46;Jan 45;0.039;77.5;223;0.9944;Feb 92;0.46;09. Mai;6
07. Feb;0.14;0.35;01. Feb;0.036;15;73;0.9938;Mrz 46;0.39;09. Sep;5
06. Sep;0.31;0.34;07. Apr;0.059;36;174;0.9963;Mrz 46;0.62;11. Jan;7
07. Mai;0.28;0.34;04. Feb;0.028;36;116;0.991;Feb 99;0.41;12. Mrz;8
8;0.22;0.42;14. Jun;0.044;45;163;10.003;Mrz 21;0.69;08. Jun;7
07. Jun;0.31;0.29;10. Mai;0.04;21;145;0.9966;03. Apr;0.35;09. Apr;5
08. Apr;0.35;0.56;13. Aug;0.048;55;190;0.9993;03. Jul;0.58;09. Apr;6
8;0.22;0.42;14. Jun;0.044;45;163;10.003;Mrz 21;0.69;08. Jun;7
08. Jan;0.5;0.47;01. Jan;0.037;23;126;0.9938;Mrz 21;0.42;10. Sep;5
7;0.39;0.31;05. Mrz;0.169;32;162;0.9965;03. Feb;0.48;09. Apr;5
08. Jan;0.5;0.47;01. Jan;0.037;23;126;0.9938;Mrz 21;0.42;10. Sep;5
08. Apr;0.35;0.56;13. Aug;0.048;55;190;0.9993;03. Jul;0.58;09. Apr;6
06. Feb;0.22;0.27;01. Mai;0.064;20;132;0.9938;Mrz 22;0.46;09. Feb;6
8;0.22;0.42;14. Jun;0.044;45;163;10.003;Mrz 21;0.69;08. Jun;7
07. Jun;0.31;0.29;10. Mai;0.04;21;145;0.9966;03. Apr;0.35;09. Apr;5
7;0.24;0.36;04. Sep;0.083;10;133;0.9942;Mrz 33;0.37;10. Aug;6
06. Jun;0.27;0.3;01. Sep;0.025;14;153;0.9928;Mrz 29;0.62;10. Mai;6
07. Aug;0.16;0.41;01. Jul;0.026;29;140;0.991;03. Feb;0.78;12. Mai;6
07. Jul;0.27;0.34;01. Aug;0.028;26;168;0.9911;Feb 99;0.48;12. Jan;7
07. Apr;0.31;0.74;10. Jul;0.039;51;147;0.9977;03. Feb;0.43;08. Jul;5
8;0.45;0.36;08. Aug;0.026;50;151;0.9927;03. Jul;0.25;12. Jul;8
07. Jul;0.27;0.34;01. Aug;0.028;26;168;0.9911;Feb 99;0.48;12. Jan;7
07. Aug;0.16;0.41;01. Jul;0.026;29;140;0.991;03. Feb;0.78;12. Mai;6
06. Jun;0.16;0.29;01. Aug;0.05;40;147;0.9912;03. Jun;0.44;11. Apr;7
08. Mrz;0.21;0.4;01. Jun;0.032;35;110;0.9907;03. Feb;0.6;12. Sep;7
07. Feb;0.32;0.33;01. Apr;0.029;29;109;0.9902;Mrz 15;0.51;12. Aug;7
06. Jun;0.16;0.3;01. Jun;0.034;15;78;0.992;Mrz 38;0.44;11. Feb;6
08. Apr;0.16;0.33;01. Mai;0.033;16;98;0.994;Mrz 14;0.42;09. Jul;6
07. Mai;0.23;0.32;09. Feb;0.038;54;191;0.9966;03. Apr;0.56;09. Jul;6
06. Feb;0.17;0.3;01. Jan;0.037;14;79;0.993;03. Mai;0.54;10. Mrz;6
06. Sep;0.39;0.22;04. Mrz;0.03;10;102;0.993;3;0.87;11. Jun;4
06. Sep;0.41;0.22;04. Feb;0.031;10;102;0.993;3;0.86;11. Jun;4
07. Mai;0.23;0.32;09. Feb;0.038;54;191;0.9966;03. Apr;0.56;09. Jul;6
07. Mai;0.38;0.33;5;0.045;30;131;0.9942;Mrz 32;0.44;10. Sep;6
07. Mrz;0.42;0.38;06. Aug;0.045;29;122;0.9925;Mrz 19;0.37;12. Jun;7
07. Mrz;0.34;0.39;05. Feb;0.04;45;163;0.9925;03. Mrz;0.47;12. Apr;6
07. Aug;0.23;0.28;Apr 75;0.042;45;166;0.9928;Feb 96;0.4;11. Mai;5
9;0.245;0.38;05. Sep;0.045;52;159;0.995;Feb 93;0.35;10. Feb;6
06. Sep;0.2;0.4;07. Jul;0.032;51;176;0.9939;Mrz 22;0.27;11. Apr;5
07. Apr;0.19;0.42;06. Apr;0.067;39;212;0.9958;03. Mrz;0.33;09. Jun;6
08. Feb;0.2;0.36;08. Jan;0.035;60;163;0.9952;03. Mai;0.3;10. Mrz;6
8;0.59;0.71;17.35;0.038;61;228;1;Feb 95;0.75;09. Mrz;5
07. Sep;0.14;0.45;01. Aug;0.05;17;114;0.9948;Mrz 33;0.49;10. Jul;7
06. Aug;0.24;0.4;01. Aug;0.047;34;105;0.99;Mrz 13;0.49;12. Aug;8
09. Jul;0.14;0.59;01. Mai;0.049;23;142;0.9958;Feb 98;0.62;09. Mai;5
09. Feb;0.15;0.68;01. Jun;0.046;22;130;0.9948;03. Feb;0.45;10. Apr;6
09. Apr;0.17;0.55;01. Jun;0.049;14;94;0.9949;03. Feb;0.61;10. Mrz;6
05. Feb;0.365;0.08;13. Mai;0.041;37;142;0.997;Mrz 46;0.39;09. Sep;6
06. Mrz;0.23;0.22;Mrz 75;0.039;37;116;0.9927;Mrz 23;0.5;10. Jul;6
09. Jun;0.25;0.54;01. Mrz;0.04;16;160;0.9938;Feb 94;0.43;10. Mai;5
09. Feb;0.32;0.42;01. Mrz;0.046;14;186;0.9949;03. Aug;0.48;09. Jun;5
06. Apr;0.31;0.4;06. Feb;0.04;46;169;0.9953;Mrz 15;0.46;09. Mrz;6
08. Jan;0.2;0.36;09. Jul;0.044;63;162;0.997;03. Jan;0.46;10;6
07. Sep;0.255;0.26;2;0.026;40;190;0.9932;03. Apr;0.39;11. Feb;6
7;0.15;0.34;01. Apr;0.039;21;177;0.9927;Mrz 32;0.62;10. Aug;5
06. Apr;0.15;0.31;01. Jan;0.044;25;96;0.9932;Mrz 54;0.51;10. Mrz;6
06. Apr;0.25;0.53;06. Jun;0.038;59;234;0.9955;03. Mrz;0.42;08. Aug;5
07. Jun;0.19;0.42;01. Mai;0.044;6;114;0.9914;03. Apr;0.74;12. Aug;6
07. Mrz;0.43;0.37;04. Jun;0.028;17;114;0.991;Mrz 23;0.43;13. Feb;6
05. Jan;0.31;0.3;0.9;0.037;28;152;0.992;Mrz 54;0.56;10. Jan;6
06. Feb;0.2;0.26;01. Jul;0.093;40;161;0.9924;Mrz 44;0.66;11;5
06. Sep;0.16;0.35;01. Mrz;0.043;21;182;0.9927;Mrz 25;0.62;10. Aug;6
07. Jul;0.32;0.48;02. Mrz;0.04;28;114;0.9911;03. Feb;0.52;12. Aug;7
06. Mai;0.22;0.72;06. Aug;0.042;33;168;0.9958;03. Dez;0.36;09. Feb;6
06. Aug;0.26;0.33;01. Mai;0.047;44;167;0.9928;03. Dez;0.44;10. Mai;6
05. Feb;0.37;0.33;01. Feb;0.028;13;81;0.9902;Mrz 37;0.38;11. Jul;6
08. Apr;0.19;0.43;02. Jan;0.052;20;104;0.994;Feb 85;0.46;09. Mai;5
08. Mrz;0.21;0.41;02. Feb;0.05;24;108;0.994;Feb 85;0.45;09. Mai;5
06. Aug;0.15;0.32;08. Aug;0.058;24;110;0.9972;03. Apr;0.4;08. Aug;6
07. Sep;0.16;0.64;17;0.05;69;210;10.004;Mrz 15;0.51;09. Mrz;7
07. Aug;0.21;0.39;01. Aug;0.034;62;180;0.991;03. Sep;0.75;12. Jun;8
9;0.24;0.5;01. Feb;0.048;26;107;0.9918;Mrz 21;0.34;12. Apr;6
05. Jul;0.21;0.24;02. Mrz;0.047;60;189;0.995;Mrz 65;0.72;10. Jan;6
07. Aug;0.29;0.36;7;0.042;38;161;0.9941;Mrz 26;0.37;11. Feb;8
06. Jul;0.18;0.3;06. Apr;0.048;40;251;0.9956;Mrz 29;0.52;10;5
06. Jul;0.18;0.3;06. Apr;0.048;40;251;0.9956;Mrz 29;0.52;10;5
08. Apr;0.58;0.27;Dez 15;0.033;37;116;0.9959;Feb 99;0.39;10. Aug;6
07. Feb;0.16;0.32;0.8;0.04;50;121;0.9922;Mrz 27;0.33;10;6
07. Jun;0.54;0.23;2;0.029;13;151;0.9931;03. Apr;0.33;10. Apr;5
08. Apr;0.58;0.27;Dez 15;0.033;37;116;0.9959;Feb 99;0.39;10. Aug;6
06. Jun;0.25;0.31;12. Apr;0.059;52;181;0.9984;Mrz 51;0.47;09. Aug;6
07. Mrz;0.23;0.37;01. Sep;0.041;51;165;0.9908;Mrz 26;0.4;12. Feb;8
07. Mrz;0.39;0.37;01. Jan;0.043;36;113;0.991;Mrz 39;0.48;12. Jul;8
7;0.46;0.39;06. Feb;0.039;46;163;0.9928;Mrz 21;0.35;12. Feb;7
08. Feb;0.35;0.4;06. Mrz;0.039;35;162;0.9936;Mrz 15;0.34;11. Sep;7
07. Aug;0.29;0.36;7;0.042;38;161;0.9941;Mrz 26;0.37;11. Feb;8
09. Feb;0.35;0.39;0.9;0.042;15;61;0.9924;Feb 96;0.28;10. Apr;4
8;0.57;0.39;03. Sep;0.034;22;122;0.9917;Mrz 29;0.67;12. Aug;7
06. Mai;0.37;0.33;03. Sep;0.027;40;130;0.9906;Mrz 28;0.39;12. Jul;7
05. Jul;0.21;0.24;02. Mrz;0.047;60;189;0.995;Mrz 65;0.72;10. Jan;6
06. Jul;0.18;0.3;06. Apr;0.048;40;251;0.9956;Mrz 29;0.52;10;5
07. Aug;0.13;0.3;01. Aug;0.04;43;179;0.9955;Mrz 43;0.41;9;5
07. Jun;0.19;0.41;01. Jan;0.04;38;143;0.9907;Feb 92;0.42;11. Apr;5
07. Mrz;0.22;0.41;15. Apr;0.05;55;191;1;Mrz 32;0.59;08. Sep;6
06. Mrz;0.29;0.4;06. Mai;0.039;43;167;0.9953;Mrz 15;0.44;09. Mrz;6
06. Aug;0.35;0.32;02. Apr;0.048;35;103;0.9911;Mrz 28;0.46;12;8
06. Mai;0.19;0.32;01. Apr;0.04;31;132;0.9922;Mrz 36;0.54;10. Aug;7
06. Feb;0.12;0.26;05. Jul;0.044;56;158;0.9951;Mrz 52;0.37;10. Mai;6
6;0.13;0.28;05. Jul;0.038;56;189.5;0.9948;Mrz 59;0.43;10. Jun;7
06. Apr;0.25;0.33;01. Apr;0.04;42;115;0.9906;Mrz 19;0.48;11. Mrz;7
06. Sep;0.32;0.16;01. Apr;0.051;15;96;0.994;Mrz 22;0.38;09. Mai;4
07. Jun;0.19;0.41;01. Jan;0.04;38;143;0.9907;Feb 92;0.42;11. Apr;5
06. Jul;0.13;0.28;01. Feb;0.046;35;140;0.9927;Mrz 33;0.33;10. Jan;7
7;0.14;0.41;0.9;0.037;22;95;0.9914;Mrz 25;0.43;10. Sep;6
07. Jun;0.27;0.24;03. Aug;0.058;19;115;0.9958;Mrz 15;0.45;08. Sep;5
07. Mrz;0.22;0.41;15. Apr;0.05;55;191;1;Mrz 32;0.59;08. Sep;6
07. Apr;0.64;0.47;14.15;0.168;42;185;0.9984;02. Sep;0.49;09. Mrz;5
07. Jun;0.28;0.39;01. Sep;0.052;23;116;0.9941;Mrz 25;0.4;10. Apr;6
08. Mrz;0.26;0.41;09. Feb;0.042;41;162;0.9944;03. Jan;0.38;12;7
10. Jul;0.22;0.56;08. Feb;0.044;37;181;0.998;Feb 87;0.68;09. Mai;6
10. Jul;0.22;0.56;08. Feb;0.044;37;181;0.998;Feb 87;0.68;09. Mai;6
06. Sep;0.23;0.34;02. Jul;0.032;24;121;0.9902;Mrz 14;0.38;12. Apr;7
06. Feb;0.3;0.32;01. Jul;0.032;30;130;0.9911;Mrz 28;0.41;11. Feb;7
06. Sep;0.27;0.41;01. Jul;0.047;6;134;0.9929;Mrz 15;0.69;11. Apr;6
06. Sep;0.28;0.41;01. Jul;0.05;10;136;0.993;Mrz 16;0.71;11. Apr;6
06. Sep;0.28;0.3;01. Jun;0.047;46;132;0.9918;Mrz 35;0.38;11. Jan;7
06. Sep;0.46;0.2;0.9;0.054;5;126;0.992;03. Jan;0.42;10. Apr;6
06. Sep;0.38;0.32;08. Mai;0.044;36;152;0.9932;Mrz 38;0.35;12;7
05. Jul;0.43;0.3;05. Jul;0.039;24;98;0.992;Mrz 54;0.61;12. Mrz;7
06. Jun;0.56;0.16;03. Jan;0.045;28;92;0.994;03. Dez;0.35;09. Jan;6
07. Jan;0.36;0.56;01. Mrz;0.046;25;102;0.9923;Mrz 24;0.33;10. Mai;6
06. Aug;0.23;0.4;01. Jun;0.047;5;133;0.993;Mrz 23;0.7;11. Apr;6
06. Feb;0.33;0.29;01. Mrz;0.042;26;138;0.9956;Mrz 77;0.64;09. Mai;5
05. Jun;0.49;0.13;04. Mai;0.039;17;116;0.9907;Mrz 42;0.9;13. Jul;7
06. Jun;0.42;0.33;02. Aug;0.034;15;85;0.99;Mrz 28;0.51;13. Apr;6
07. Mrz;0.18;0.29;01. Feb;0.044;12;143;0.9918;03. Feb;0.48;11. Mrz;7
08. Jan;0.19;0.4;0.9;0.037;73;180;0.9926;03. Jun;0.34;10;6
05. Sep;0.19;0.26;07. Apr;0.034;33;123;0.995;Mrz 49;0.42;10. Jan;6
06. Feb;0.16;0.47;01. Apr;0.029;23;81;0.99;Mrz 26;0.42;12. Feb;6
06. Jun;0.42;0.33;02. Aug;0.034;15;85;0.99;Mrz 28;0.51;13. Apr;6
05. Jul;0.135;0.3;04. Jun;0.042;19;101;0.9946;Mrz 31;0.42;09. Mrz;6
05. Jun;0.49;0.13;04. Mai;0.039;17;116;0.9907;Mrz 42;0.9;13. Jul;7
06. Sep;0.19;0.33;01. Jun;0.039;27;98;0.9898;03. Sep;0.46;12. Mrz;7
07. Mrz;0.18;0.29;01. Feb;0.044;12;143;0.9918;03. Feb;0.48;11. Mrz;7
07. Mrz;0.25;0.36;13. Jan;0.05;35;200;0.9986;03. Apr;0.46;08. Sep;7
07. Mrz;0.25;0.36;13. Jan;0.05;35;200;0.9986;03. Apr;0.46;08. Sep;7
7;0.2;0.34;05. Jul;0.035;32;83;0.9928;Mrz 19;0.46;11. Mai;6
07. Mrz;0.25;0.36;13. Jan;0.05;35;200;0.9986;03. Apr;0.46;08. Sep;7
06. Mrz;0.67;0.48;12. Jun;0.052;57;222;0.9979;Mrz 17;0.52;09. Mrz;6
07. Apr;0.4;0.29;05. Apr;0.044;31;122;0.994;03. Mrz;0.5;11. Jan;8
07. Jan;0.26;0.31;02. Feb;0.044;29;128;0.9937;Mrz 34;0.64;10. Sep;8
9;0.31;0.48;06. Jun;0.043;11;73;0.9938;02. Sep;0.38;11. Jun;5
06. Mrz;0.39;0.24;06. Sep;0.069;9;117;0.9942;Mrz 15;0.35;10. Feb;4
08. Feb;0.22;0.36;06. Aug;0.034;12;90;0.9944;03. Jan;0.38;10. Mai;8
07. Jan;0.19;0.28;03. Jun;0.033;16;78;0.993;Feb 91;0.78;11. Apr;6
07. Mrz;0.25;0.36;13. Jan;0.05;35;200;0.9986;03. Apr;0.46;08. Sep;7
07. Sep;0.2;0.34;01. Feb;0.04;29;118;0.9932;Mrz 14;0.41;10. Jun;6
07. Jan;0.26;0.32;05. Sep;0.037;39;97;0.9934;Mrz 31;0.4;11. Jun;6
7;0.2;0.34;05. Jul;0.035;32;83;0.9928;Mrz 19;0.46;11. Mai;6
06. Sep;0.3;0.33;04. Jan;0.035;26;155;0.9925;Mrz 25;0.79;12. Mrz;8
08. Jan;0.29;0.49;07. Jan;0.042;22;124;0.9944;Mrz 14;0.41;10. Aug;6
05. Aug;0.17;0.3;01. Apr;0.037;55;130;0.9909;Mrz 29;0.38;11. Mrz;6
05. Sep;0.415;0.02;0.8;0.038;22;63;0.9932;Mrz 36;0.36;09. Mrz;5
06. Jun;0.23;0.26;01. Mrz;0.045;16;128;0.9934;Mrz 36;0.6;10;6
08. Jun;0.55;0.35;15.55;0.057;35.5;366.5;10.001;03. Apr;0.63;11;3
06. Sep;0.35;0.74;1;0.044;18;132;0.992;Mrz 13;0.55;10. Feb;5
07. Jun;0.14;0.74;01. Jun;0.04;27;103;0.9916;03. Jul;0.4;10. Aug;7
09. Feb;0.28;0.49;11. Aug;0.042;29;137;0.998;03. Jan;0.34;10. Jan;4
06. Feb;0.18;0.49;04. Mai;0.047;17;90;0.9919;Mrz 27;0.37;11. Jun;6
05. Mrz;0.165;0.24;01. Jan;0.051;25;105;0.9925;Mrz 32;0.47;09. Jan;5
09. Aug;0.25;0.74;10;0.056;36;225;0.9977;03. Jun;0.43;10;4
08. Jan;0.29;0.49;07. Jan;0.042;22;124;0.9944;Mrz 14;0.41;10. Aug;6
06. Aug;0.22;0.49;0.9;0.052;26;128;0.991;Mrz 25;0.35;11. Apr;6
07. Feb;0.22;0.49;1;0.045;34;140;0.99;03. Mai;0.34;12. Jul;6
07. Apr;0.25;0.49;01. Jan;0.042;35;156;0.9917;Mrz 13;0.55;11. Mrz;5
08. Feb;0.18;0.49;01. Jan;0.033;28;81;0.9923;3;0.68;10. Apr;7
06. Jan;0.22;0.49;01. Mai;0.051;18;87;0.9928;03. Mrz;0.46;09. Jun;5
7;0.39;0.24;1;0.048;8;119;0.9923;3;0.31;10. Jan;4
06. Jan;0.22;0.49;01. Mai;0.051;18;87;0.9928;03. Mrz;0.46;09. Jun;5
06. Mai;0.36;0.49;02. Sep;0.03;16;94;0.9902;03. Jan;0.49;12. Jan;7
07. Jan;0.29;0.49;01. Feb;0.031;32;99;0.9893;03. Jul;0.33;12. Feb;6
07. Apr;0.25;0.49;01. Jan;0.042;35;156;0.9917;Mrz 13;0.55;11. Mrz;5
06. Sep;0.23;0.24;14. Feb;0.053;19;94;0.9982;Mrz 17;0.5;09. Jun;5
08. Mai;0.56;0.74;17.85;0.051;51;243;10.005;Feb 99;0.7;09. Feb;5
08. Feb;0.18;0.49;01. Jan;0.033;28;81;0.9923;3;0.68;10. Apr;7
06. Mrz;0.23;0.49;07. Jan;0.05;67;210;0.9951;Mrz 23;0.34;09. Mai;5
06. Jan;0.25;0.49;07. Jun;0.052;67;226;0.9956;Mrz 16;0.47;08. Sep;5
07. Feb;0.26;0.74;13. Jun;0.05;56;162;0.998;03. Mrz;0.44;08. Aug;5
07. Feb;0.31;0.24;01. Apr;0.057;17;117;0.9928;Mrz 16;0.35;10. Mai;5
8;0.25;0.49;01. Feb;0.061;27;117;0.9938;03. Aug;0.34;09. Apr;5
7;0.18;0.49;05. Mrz;0.04;34;125;0.9914;Mrz 24;0.4;12. Feb;6
07. Aug;0.43;0.49;13;0.033;37;158;0.9955;Mrz 14;0.35;11. Mrz;6
08. Mrz;0.2;0.74;Apr 45;0.044;33;130;0.9924;Mrz 25;0.42;12. Feb;6
06. Mrz;0.27;0.49;01. Feb;0.063;35;92;0.9911;Mrz 38;0.42;12. Feb;6
07. Apr;0.16;0.49;01. Feb;0.055;18;150;0.9917;Mrz 23;0.47;11. Feb;6
07. Apr;0.16;0.49;01. Feb;0.055;18;150;0.9917;Mrz 23;0.47;11. Feb;6
06. Sep;0.19;0.49;06. Jun;0.036;49;172;0.9932;03. Feb;0.27;11. Mai;6
07. Aug;0.43;0.49;13;0.033;37;158;0.9955;Mrz 14;0.35;11. Mrz;6
07. Feb;0.4;0.49;01. Jan;0.048;11;138;0.9929;03. Jan;0.42;09. Mrz;5
07. Aug;0.43;0.49;13;0.033;37;158;0.9955;Mrz 14;0.35;11. Mrz;6
07. Jun;0.52;0.49;14;0.034;37;156;0.9958;Mrz 14;0.38;11. Aug;7
08. Mrz;0.21;0.49;19. Aug;0.054;50;231;10.012;Feb 99;0.54;09. Feb;5
06. Sep;0.34;0.74;11. Feb;0.069;44;150;0.9968;3;0.81;09. Feb;5
06. Mrz;0.27;0.49;01. Feb;0.063;35;92;0.9911;Mrz 38;0.42;12. Feb;6
08. Mrz;0.2;0.74;Apr 45;0.044;33;130;0.9924;Mrz 25;0.42;12. Feb;6
07. Jan;0.22;0.74;02. Jul;0.044;42;144;0.991;Mrz 31;0.41;12. Feb;6
07. Sep;0.11;0.49;04. Mai;0.048;27;133;0.9946;Mrz 24;0.42;10. Jun;6
08. Mai;0.17;0.74;03. Jun;0.05;29;128;0.9928;Mrz 28;0.4;12. Apr;6
06. Apr;0.145;0.49;05. Apr;0.048;54;164;0.9946;Mrz 56;0.44;10. Aug;6
07. Apr;0.16;0.49;01. Feb;0.055;18;150;0.9917;Mrz 23;0.47;11. Feb;6
08. Mrz;0.19;0.49;01. Feb;0.051;11;137;0.9918;03. Jun;0.46;11;6
8;0.44;0.49;09. Jan;0.031;46;151;0.9926;Mrz 16;0.27;12. Jul;8
7;0.2;0.74;0.8;0.044;19;163;0.9931;Mrz 46;0.53;10. Feb;5
06. Sep;0.19;0.49;06. Jun;0.036;49;172;0.9932;03. Feb;0.27;11. Mai;6
07. Jan;0.25;0.49;3;0.03;30;96;0.9903;Mrz 13;0.39;12. Mrz;7
06. Mai;0.24;0.24;01. Jun;0.046;15;60;0.9928;Mrz 19;0.39;09. Aug;5
07. Feb;0.4;0.49;01. Jan;0.048;11;138;0.9929;03. Jan;0.42;09. Mrz;5
07. Jun;0.52;0.49;14;0.034;37;156;0.9958;Mrz 14;0.38;11. Aug;7
07. Aug;0.43;0.49;13;0.033;37;158;0.9955;Mrz 14;0.35;11. Mrz;6
07. Aug;0.21;0.49;Jan 35;0.052;6;48;0.9911;Mrz 15;0.28;11. Apr;5
7;0.2;0.49;05. Sep;0.038;39;128;0.9938;Mrz 21;0.48;10. Aug;6
06. Sep;0.25;0.24;03. Jun;0.057;13;85;0.9942;Feb 99;0.48;09. Mai;4
07. Feb;0.08;0.49;01. Mrz;0.05;18;148;0.9945;Mrz 46;0.44;10. Feb;6
07. Jan;0.85;0.49;08. Jul;0.028;40;184;0.9962;Mrz 22;0.36;10. Jul;5
07. Jun;0.51;0.24;01. Feb;0.04;10;104;0.992;03. Mai;0.29;10. Aug;6
07. Sep;0.22;0.24;04. Jun;0.044;39;159;0.9927;Feb 99;0.28;11. Mai;6
07. Jul;0.16;0.49;2;0.056;20;124;0.9948;Mrz 32;0.49;10. Jul;6
07. Feb;0.08;0.49;01. Mrz;0.05;18;148;0.9945;Mrz 46;0.44;10. Feb;6
06. Jun;0.25;0.24;01. Jul;0.048;26;124;0.9942;Mrz 37;0.6;10. Jan;6
06. Jul;0.16;0.49;02. Apr;0.046;57;187;0.9952;Mrz 62;0.81;10. Apr;6
06. Sep;0.25;0.24;03. Jun;0.057;13;85;0.9942;Feb 99;0.48;09. Mai;4
07. Mai;0.32;0.24;04. Jun;0.053;8;134;0.9958;Mrz 14;0.5;09. Jan;3
07. Apr;0.28;0.49;01. Mai;0.034;20;126;0.9918;Feb 98;0.39;10. Jun;6
06. Feb;0.15;0.49;0.9;0.033;17;51;0.9932;03. Mrz;0.7;09. Apr;6
06. Jul;0.25;0.74;19. Apr;0.054;44;169;10.004;Mrz 51;0.45;09. Aug;6
06. Mai;0.26;0.74;13. Mrz;0.044;68;224;0.9972;Mrz 18;0.54;09. Mai;6
07. Sep;0.16;0.74;17.85;0.037;52;187;0.9998;Feb 99;0.41;09. Mrz;5
05. Jun;0.185;0.49;01. Jan;0.03;28;117;0.9918;Mrz 55;0.45;10. Mrz;6
07. Mai;0.2;0.49;01. Mrz;0.031;8;97;0.9918;03. Jun;0.62;11. Jan;5
8;0.3;0.49;09. Apr;0.046;47;188;0.9964;Mrz 14;0.48;10;5
8;0.34;0.49;9;0.033;39;180;0.9936;Mrz 13;0.38;12. Mrz;8
07. Jul;0.35;0.49;Aug 65;0.033;42;186;0.9931;Mrz 14;0.38;12. Apr;8
07. Jun;0.29;0.49;09. Jun;0.03;45;197;0.9938;Mrz 13;0.38;12. Mrz;7
06. Jul;0.62;0.24;01. Jan;0.039;6;62;0.9934;Mrz 41;0.32;10. Apr;5
06. Aug;0.27;0.49;01. Feb;0.044;35;126;0.99;Mrz 13;0.48;12. Jan;7
07. Jul;0.27;0.49;01. Aug;0.041;23;86;0.9914;Mrz 16;0.42;12. Mai;6
06. Jul;0.51;0.24;02. Jan;0.043;14;155;0.9904;Mrz 22;0.6;13;6
07. Apr;0.19;0.49;09. Mrz;0.03;26;132;0.994;Feb 99;0.32;11;7
08. Mrz;0.2;0.49;01. Jul;0.04;34;169;0.9938;03. Mai;0.37;10. Jan;5
06. Jun;0.3;0.24;01. Feb;0.034;17;121;0.9933;Mrz 13;0.36;09. Feb;5
06. Aug;0.36;0.24;04. Jun;0.039;24;124;0.9909;Mrz 27;0.34;12. Jun;7
7;0.17;0.74;12. Aug;0.045;24;126;0.9942;Mrz 26;0.38;12. Feb;8
09. Feb;0.18;0.49;01. Mai;0.041;39;130;0.9945;03. Apr;0.49;09. Aug;7
08. Jan;0.2;0.49;08. Jan;0.051;51;205;0.9954;03. Jan;0.52;11;6
07. Aug;0.26;0.74;07. Mai;0.044;59;160;0.996;Mrz 22;0.64;10;6
06. Aug;0.21;0.49;14. Mai;0.06;50;170;0.9991;Mrz 55;0.44;09. Aug;6
07. Sep;0.2;0.49;01. Jun;0.053;15;144;0.993;Mrz 16;0.47;10. Mai;5
8;0.18;0.49;01. Aug;0.061;10;145;0.9942;Mrz 23;0.48;10;5
08. Aug;0.23;0.74;03. Feb;0.042;15;126;0.9934;03. Feb;0.51;11. Feb;6
07. Mrz;0.22;0.49;09. Apr;0.034;29;134;0.9939;Feb 99;0.32;11;7
07. Mrz;0.22;0.49;09. Sep;0.031;48;161;0.9937;03. Jan;0.28;11. Feb;6
07. Apr;0.19;0.49;09. Mrz;0.03;26;132;0.994;Feb 99;0.32;11;7
07. Mrz;0.155;0.49;01. Mrz;0.039;34;136;0.9926;Mrz 14;0.77;10. Mai;6
08. Feb;0.22;0.49;09. Jun;0.037;53;154;0.9951;03. Feb;0.33;10. Jun;6
08. Feb;0.24;0.49;09. Mrz;0.038;52;163;0.9952;03. Feb;0.33;10. Jun;6
08. Apr;0.23;0.49;07. Aug;0.035;22;95;0.9935;03. Apr;0.34;12;6
08. Mrz;0.2;0.49;01. Jul;0.04;34;169;0.9938;03. Mai;0.37;10. Jan;5
08. Mrz;0.2;0.49;01. Jul;0.038;38;167;0.9939;03. Mai;0.37;10. Jan;6
06. Jun;0.3;0.24;01. Feb;0.034;17;121;0.9933;Mrz 13;0.36;09. Feb;5
06. Sep;0.21;0.49;01. Apr;0.041;15;164;0.9927;Mrz 25;0.63;11;5
8;0.25;0.49;9;0.044;31;185;0.998;Mrz 34;0.49;10;6
06. Jun;0.21;0.49;18.15;0.042;41;158;0.9997;Mrz 28;0.39;08. Jul;6
07. Feb;0.27;0.74;12. Mai;0.037;47;156;0.9981;03. Apr;0.44;08. Jul;5
14. Feb;0.27;0.49;01. Jan;0.037;33;156;0.992;Mrz 15;0.54;11. Jan;6
